PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Grau - total,Sector privat,Ialomita,1992,Kilograme,2760.0
Grau - total,Sector privat,Constanta,1992,Kilograme,1539.0
Grau - total,din care: Exploatatii agricole individuale,Galati,1992,Kilograme,1585.0
Grau - total,din care: Exploatatii agricole individuale,Arad,1992,Kilograme,1336.0
Grau - total,Sector privat,Bacau,1992,Kilograme,1828.0
Grau - total,din care: Exploatatii agricole individuale,Bacau,1992,Kilograme,1715.0
Grau - total,Sector privat,Satu Mare,1992,Kilograme,2594.0
Grau - total,din care: Exploatatii agricole individuale,Satu Mare,1992,Kilograme,2283.0
Grau - total,Sector privat,Arad,1992,Kilograme,1493.0
Grau - total,Sector privat,Prahova,1992,Kilograme,2712.0
Grau - total,Sector privat,Galati,1992,Kilograme,1609.0
Grau - total,Sector privat,Botosani,1992,Kilograme,1633.0
Grau - total,din care: Exploatatii agricole individuale,Giurgiu,1992,Kilograme,2515.0
Grau - total,din care: Exploatatii agricole individuale,Caras-Severin,1992,Kilograme,1338.0
Grau - total,Sector privat,Salaj,1992,Kilograme,1520.0
Grau - total,din care: Exploatatii agricole individuale,Salaj,1992,Kilograme,1488.0
Grau - total,din care: Exploatatii agricole individuale,Gorj,1992,Kilograme,1786.0
Grau - total,din care: Exploatatii agricole individuale,Botosani,1992,Kilograme,1591.0
Grau - total,Sector privat,Caras-Severin,1992,Kilograme,1319.0
Grau - total,Sector privat,Teleorman,1992,Kilograme,2201.0
Grau - total,Sector privat,Tulcea,1992,Kilograme,1370.0
Grau - total,din care: Exploatatii agricole individuale,Buzau,1992,Kilograme,2123.0
Grau - total,Sector privat,Iasi,1992,Kilograme,1954.0
Grau - total,din care: Exploatatii agricole individuale,Hunedoara,1992,Kilograme,1923.0
Grau - total,Sector privat,Alba,1992,Kilograme,1996.0
Grau - total,din care: Exploatatii agricole individuale,Alba,1992,Kilograme,1829.0
Grau - total,din care: Exploatatii agricole individuale,Mures,1992,Kilograme,1965.0
Grau - total,Sector privat,Hunedoara,1992,Kilograme,1962.0
Grau - total,din care: Exploatatii agricole individuale,Tulcea,1992,Kilograme,1312.0
Grau - total,Sector privat,Mun. Bucuresti -incl. SAI,1992,Kilograme,2733.0
Grau - total,Sector privat,Vrancea,1992,Kilograme,1619.0
Grau - total,Sector privat,Neamt,1992,Kilograme,2046.0
Grau - total,din care: Exploatatii agricole individuale,Teleorman,1992,Kilograme,2028.0
Grau - total,din care: Exploatatii agricole individuale,Timis,1992,Kilograme,1619.0
Grau - total,Sector privat,Brasov,1992,Kilograme,2281.0
Grau - total,din care: Exploatatii agricole individuale,Dambovita,1992,Kilograme,2243.0
Grau - total,din care: Exploatatii agricole individuale,Neamt,1992,Kilograme,1921.0
Grau - total,din care: Exploatatii agricole individuale,Brasov,1992,Kilograme,2140.0
Grau - total,Sector privat,Timis,1992,Kilograme,1703.0
Grau - total,din care: Exploatatii agricole individuale,Prahova,1992,Kilograme,2363.0
Grau - total,Sector privat,Dolj,1992,Kilograme,1992.0
Grau - total,Sector privat,Arges,1992,Kilograme,1804.0
Grau - total,Sector privat,Suceava,1992,Kilograme,1934.0
Grau - total,din care: Exploatatii agricole individuale,Braila,1992,Kilograme,2241.0
Grau - total,din care: Exploatatii agricole individuale,Suceava,1992,Kilograme,1892.0
Grau - total,din care: Exploatatii agricole individuale,Bihor,1992,Kilograme,1447.0
Grau - total,Sector privat,Covasna,1993,Kilograme,2674.0
Grau - total,din care: Exploatatii agricole individuale,Suceava,1993,Kilograme,2593.0
Grau - total,din care: Exploatatii agricole individuale,Covasna,1993,Kilograme,2647.0
Grau - total,Sector privat,Bihor,1993,Kilograme,2096.0
Grau - total,Sector privat,Gorj,1993,Kilograme,2592.0
Grau - total,din care: Exploatatii agricole individuale,Constanta,1993,Kilograme,1937.0
Grau - total,Sector privat,Calarasi,1993,Kilograme,2444.0
Grau - total,Sector privat,Vaslui,1993,Kilograme,2115.0
Grau - total,din care: Exploatatii agricole individuale,Vaslui,1993,Kilograme,2074.0
Grau - total,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1993,Kilograme,2469.0
